event_id,date_of_event,country,Place,Orchestra,program,conductor
32,1921-07-16,Czechoslovakia,Mariánské Lázně,Vienna Philharmonic,Dvo 66,Felix von Weingartner
32,1921-07-16,Czechoslovakia,Mariánské Lázně,Vienna Philharmonic,Str 24,Felix von Weingartner
32,1921-07-16,Czechoslovakia,Mariánské Lázně,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
33,1921-07-17,Czechoslovakia,Františkovy Lázně,Vienna Philharmonic,Bee 67,Felix von Weingartner
33,1921-07-17,Czechoslovakia,Františkovy Lázně,Vienna Philharmonic,Deb Faune,Felix von Weingartner
33,1921-07-17,Czechoslovakia,Františkovy Lázně,Vienna Philharmonic,Schb 759,Felix von Weingartner
33,1921-07-17,Czechoslovakia,Františkovy Lázně,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
34,1921-07-18,Czechoslovakia,Prague,Vienna Philharmonic,Bee 67,Felix von Weingartner
34,1921-07-18,Czechoslovakia,Prague,Vienna Philharmonic,Deb Faune,Felix von Weingartner
34,1921-07-18,Czechoslovakia,Prague,Vienna Philharmonic,Schb 759,Felix von Weingartner
34,1921-07-18,Czechoslovakia,Prague,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
35,1921-07-19,Czechoslovakia,Brno,Vienna Philharmonic,Bee 93,Felix von Weingartner
35,1921-07-19,Czechoslovakia,Brno,Vienna Philharmonic,Berl 9,Felix von Weingartner
35,1921-07-19,Czechoslovakia,Brno,Vienna Philharmonic,Dvo 66,Felix von Weingartner
35,1921-07-19,Czechoslovakia,Brno,Vienna Philharmonic,Str 24,Felix von Weingartner
35,1921-07-19,Czechoslovakia,Brno,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
36,1921-10-16,Czechoslovakia,Bratislava,Vienna Philharmonic,Bee 92,Felix von Weingartner
36,1921-10-16,Czechoslovakia,Bratislava,Vienna Philharmonic,Deb Faune,Felix von Weingartner
36,1921-10-16,Czechoslovakia,Bratislava,Vienna Philharmonic,Dvo 66,Felix von Weingartner
36,1921-10-16,Czechoslovakia,Bratislava,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
37,1922-07-19,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 92,Felix von Weingartner
37,1922-07-19,Brazil,Rio de Janeiro,Vienna Philharmonic,Berl 14,Felix von Weingartner
37,1922-07-19,Brazil,Rio de Janeiro,Vienna Philharmonic,Moz Präludium und Fuge für Streicher,Felix von Weingartner
37,1922-07-19,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 70/Bac,Felix von Weingartner
38,1922-07-20,Brazil,Rio de Janeiro,Vienna Philharmonic,Bra 68,Felix von Weingartner
38,1922-07-20,Brazil,Rio de Janeiro,Vienna Philharmonic,Elg 36,Felix von Weingartner
38,1922-07-20,Brazil,Rio de Janeiro,Vienna Philharmonic,Gluck Iphigenie in Aulis,Felix von Weingartner
38,1922-07-20,Brazil,Rio de Janeiro,Vienna Philharmonic,Schb 759,Felix von Weingartner
39,1922-07-21,Brazil,Rio de Janeiro,Vienna Philharmonic,Francisco Braga Variationen aus Contratador de Diamantes,Felix von Weingartner
39,1922-07-21,Brazil,Rio de Janeiro,Vienna Philharmonic,Moz 551,Felix von Weingartner
39,1922-07-21,Brazil,Rio de Janeiro,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
39,1922-07-21,Brazil,Rio de Janeiro,Vienna Philharmonic,Wag 86d/Trauermarsch,Felix von Weingartner
39,1922-07-21,Brazil,Rio de Janeiro,Vienna Philharmonic,Web 79,Felix von Weingartner
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Bee 67,Felix von Weingartner
40,1922-07-22,Brazil,Rio de Janeiro,Vienna Philharmonic,Deb La chambre magique,Felix von Weingartner
